2022-12-04 16:33:45.318985,INFO,ANTDEP,Deploy downlink antenna
2022-12-04 16:33:50.407919,DEBUG,Write data = 00010100
2022-12-04 16:33:50.487452,INFO,ANTDEP,Write and update downlink deployed flag
2022-12-04 16:33:50.520191,DEBUG,Write data = 00010101
2022-12-04 16:33:50.584244,INFO,ANTDEP,antenna deployment mode end -> WAIT_MODE
2022-12-04 16:33:50.616187,INFO,WAIT,Wait mode has started
2022-12-04 16:33:50.648336,INFO,WAIT,Check low power
2022-12-04 16:33:50.679943,INFO,WAIT,Check timed command
2022-12-04 16:33:50.728155,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:50.760187,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:50.824393,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:50.887544,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:51.912790,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:51.959882,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:52.008590,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:52.071937,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:52.120687,INFO,WAIT,Check low power
2022-12-04 16:33:52.152430,INFO,WAIT,Check timed command
2022-12-04 16:33:52.200012,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:52.248132,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:52.296357,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:52.360946,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:53.400878,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:53.448759,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:53.497023,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:53.544996,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:53.608741,INFO,WAIT,Check low power
2022-12-04 16:33:53.640108,INFO,WAIT,Check timed command
2022-12-04 16:33:53.687570,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:53.720887,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:53.784897,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:53.848302,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:54.873133,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:54.921810,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:54.968378,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:55.033093,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:55.080762,INFO,WAIT,Check low power
2022-12-04 16:33:55.113139,INFO,WAIT,Check timed command
2022-12-04 16:33:55.161411,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:55.208469,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:55.257488,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:55.321399,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:56.360841,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:56.408615,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:56.457031,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:56.505099,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:56.568453,INFO,WAIT,Check low power
2022-12-04 16:33:56.601609,INFO,WAIT,Check timed command
2022-12-04 16:33:56.648381,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:56.681666,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:56.745174,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:56.808818,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:57.833780,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:57.881750,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:57.929804,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:57.993535,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:58.057788,INFO,WAIT,Check low power
2022-12-04 16:33:58.073859,INFO,WAIT,Check timed command
2022-12-04 16:33:58.121774,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:58.170090,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:58.217829,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:58.281746,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:59.321622,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:33:59.370039,INFO,MDR,Mission data record mode has started
2022-12-04 16:33:59.417854,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:33:59.466028,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:33:59.529922,INFO,WAIT,Check low power
2022-12-04 16:33:59.562012,INFO,WAIT,Check timed command
2022-12-04 16:33:59.610341,INFO,WAIT,Check receiving uplink command
2022-12-04 16:33:59.641847,INFO,WAIT,Check antenna deployment status
2022-12-04 16:33:59.706010,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:33:59.770150,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:00.794345,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:00.842359,INFO,MDR,Mission data record mode has started
2022-12-04 16:34:00.889905,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:00.953722,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:34:01.034195,INFO,WAIT,Check timed command
2022-12-04 16:34:01.082475,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:01.130595,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:01.194256,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:01.243087,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:02.282591,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:02.330627,INFO,MDR,Mission data record mode has started
2022-12-04 16:34:02.378865,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:02.427400,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:34:02.490804,INFO,WAIT,Check low power
2022-12-04 16:34:02.522586,INFO,WAIT,Check timed command
2022-12-04 16:34:02.570866,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:02.602807,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:02.667048,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:02.730695,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:03.755357,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:03.818094,INFO,MDR,Mission data record mode has started
2022-12-04 16:34:03.850977,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:03.947287,INFO,WAIT,Wait mode has started
2022-12-04 16:34:03.978896,INFO,WAIT,Check low power
2022-12-04 16:34:04.042533,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:04.091016,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:04.154724,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:04.202823,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:05.243161,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:05.291151,INFO,MDR,Mission data record mode has started
2022-12-04 16:34:05.338750,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:05.387959,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:34:05.451489,INFO,WAIT,Check low power
